sls file,sls result,sls duration,cvc5 lia filename,cvc5 lia result,cvc5 lia duration,unfold5 file,unfold5 result,unfold5 duration,no_interp file,no_interp result,no_interp duration,sqlsolver filename,sqlsolver result,sqlsolver duration
bapa/arith/fol_0000051.smt2,sat,0.579387665,benchmarks/bapa/arith/cvc5_bapa/fol_0000051.smt2,sat,0.119428158,bapa/arith/fol_0000051.smt2,sat,1.447114706,bapa/arith/fol_0000051.smt2,sat,0.770496845,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000051.smt2,SAT,0.23
bapa/arith/fol_0000052.smt2,sat,0.54706502,benchmarks/bapa/arith/cvc5_bapa/fol_0000052.smt2,sat,0.132264376,bapa/arith/fol_0000052.smt2,sat,1.811445236,bapa/arith/fol_0000052.smt2,sat,0.754648447,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000052.smt2,SAT,0.235
bapa/arith/fol_0000053.smt2,sat,0.439743519,benchmarks/bapa/arith/cvc5_bapa/fol_0000053.smt2,sat,0.127032518,bapa/arith/fol_0000053.smt2,sat,1.826951027,bapa/arith/fol_0000053.smt2,sat,0.81757021,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000053.smt2,SAT,0.226
bapa/arith/fol_0000054.smt2,sat,0.188495159,benchmarks/bapa/arith/cvc5_bapa/fol_0000054.smt2,sat,0.135186434,bapa/arith/fol_0000054.smt2,sat,4.440725088,bapa/arith/fol_0000054.smt2,sat,0.736420631,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000054.smt2,SAT,0.225
bapa/arith/fol_0000055.smt2,unsat,0.172174454,benchmarks/bapa/arith/cvc5_bapa/fol_0000055.smt2,unsat,0.010797977,bapa/arith/fol_0000055.smt2,unsat,0.470944405,bapa/arith/fol_0000055.smt2,unsat,3.572170973,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000055.smt2,UNSAT,0.034
bapa/arith/fol_0000056.smt2,sat,0.724846125,benchmarks/bapa/arith/cvc5_bapa/fol_0000056.smt2,sat,0.063684225,bapa/arith/fol_0000056.smt2,sat,2.321139336,bapa/arith/fol_0000056.smt2,sat,0.950084448,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000056.smt2,SAT,0.501
bapa/arith/fol_0000057.smt2,sat,0.396501303,benchmarks/bapa/arith/cvc5_bapa/fol_0000057.smt2,sat,0.116705894,bapa/arith/fol_0000057.smt2,sat,1.431070089,bapa/arith/fol_0000057.smt2,sat,0.41176033,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000057.smt2,SAT,0.281
bapa/arith/fol_0000058.smt2,unsat,0.47390008,benchmarks/bapa/arith/cvc5_bapa/fol_0000058.smt2,unsat,0.114969492,bapa/arith/fol_0000058.smt2,unsat,0.64368391,bapa/arith/fol_0000058.smt2,unsat,6.702996016,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000058.smt2,UNSAT,0.233
bapa/arith/fol_0000059.smt2,unsat,0.15601182,benchmarks/bapa/arith/cvc5_bapa/fol_0000059.smt2,unsat,0.010456562,bapa/arith/fol_0000059.smt2,unsat,0.456310511,bapa/arith/fol_0000059.smt2,unsat,2.893010139,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000059.smt2,UNSAT,0.017
bapa/arith/fol_0000060.smt2,unsat,0.234406948,benchmarks/bapa/arith/cvc5_bapa/fol_0000060.smt2,unsat,0.116568327,bapa/arith/fol_0000060.smt2,unsat,0.738254547,bapa/arith/fol_0000060.smt2,unsat,8.575337172,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000060.smt2,UNSAT,0.223
bapa/arith/fol_0000061.smt2,unsat,0.470827341,benchmarks/bapa/arith/cvc5_bapa/fol_0000061.smt2,unsat,0.114852428,bapa/arith/fol_0000061.smt2,unsat,1.67762351,bapa/arith/fol_0000061.smt2,unsat,4.482406616,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000061.smt2,UNSAT,0.227
bapa/arith/fol_0000062.smt2,sat,0.422251701,benchmarks/bapa/arith/cvc5_bapa/fol_0000062.smt2,sat,0.127403975,bapa/arith/fol_0000062.smt2,sat,1.541491985,bapa/arith/fol_0000062.smt2,sat,0.776386023,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000062.smt2,SAT,0.234
bapa/arith/fol_0000063.smt2,unsat,0.233814478,benchmarks/bapa/arith/cvc5_bapa/fol_0000063.smt2,unsat,0.11311698,bapa/arith/fol_0000063.smt2,unsat,0.698106289,bapa/arith/fol_0000063.smt2,unsat,4.237812042,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000063.smt2,UNSAT,0.224
bapa/arith/fol_0000064.smt2,unsat,0.152176619,benchmarks/bapa/arith/cvc5_bapa/fol_0000064.smt2,unsat,0.012086153,bapa/arith/fol_0000064.smt2,unsat,0.511196136,bapa/arith/fol_0000064.smt2,unsat,2.782894135,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000064.smt2,UNSAT,0.018
bapa/arith/fol_0000065.smt2,unsat,0.483546734,benchmarks/bapa/arith/cvc5_bapa/fol_0000065.smt2,unsat,0.115830898,bapa/arith/fol_0000065.smt2,unsat,0.614294052,bapa/arith/fol_0000065.smt2,unsat,5.550576448,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000065.smt2,UNSAT,0.224
bapa/arith/fol_0000066.smt2,unsat,0.596949339,benchmarks/bapa/arith/cvc5_bapa/fol_0000066.smt2,unsat,0.116195917,bapa/arith/fol_0000066.smt2,unsat,0.75323987,bapa/arith/fol_0000066.smt2,unsat,4.308270693,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000066.smt2,UNSAT,0.238
