name,sat,problem_size,sls_size,z3_calls,interpolants_generated,merges,shiftdowns,offsets,total_time,reduction_time,augment_time,interpolation_time,solution_time
bapa/arith/fol_0000001.smt2,1,6,8,107,7,4,1,0,0.9943585395812988,0.20370125770568848,0.067474365234375,0.3477439880371094,0.15686988830566406
bapa/arith/fol_0000002.smt2,1,6,8,94,4,4,0,0,0.7603321075439453,0.18454957008361816,0.056787967681884766,0.2550671100616455,0.1526017189025879
bapa/arith/fol_0000003.smt2,1,6,7,75,4,3,0,1,0.6364960670471191,0.12249898910522461,0.04853415489196777,0.22771787643432617,0.1221001148223877
bapa/arith/fol_0000004.smt2,1,6,8,102,5,4,0,0,0.8037312030792236,0.21143341064453125,0.05393862724304199,0.2796926498413086,0.1455233097076416
bapa/arith/fol_0000005.smt2,1,6,7,80,5,3,0,0,0.6380302906036377,0.15260982513427734,0.045244693756103516,0.21601295471191406,0.11287307739257812
bapa/arith/fol_0000006.smt2,1,6,7,64,3,2,0,0,0.5689170360565186,0.08342862129211426,0.04822421073913574,0.19050049781799316,0.12925338745117188
bapa/arith/fol_0000007.smt2,1,6,8,101,6,4,0,0,0.7950348854064941,0.1852877140045166,0.0556640625,0.29435300827026367,0.14862775802612305
bapa/arith/fol_0000008.smt2,1,6,7,79,5,3,0,0,0.6312665939331055,0.14852046966552734,0.04553985595703125,0.21533918380737305,0.11365962028503418
bapa/arith/fol_0000009.smt2,1,6,8,97,7,4,1,0,0.792790412902832,0.17710256576538086,0.054488420486450195,0.29427337646484375,0.15425729751586914
bapa/arith/fol_0000010.smt2,1,6,7,82,5,3,0,0,0.6487476825714111,0.15220284461975098,0.04620170593261719,0.2299787998199463,0.11231732368469238
bapa/arith/fol_0000011.smt2,1,6,7,82,5,3,0,0,0.656205415725708,0.1523599624633789,0.04593658447265625,0.22884297370910645,0.11780714988708496
bapa/arith/fol_0000012.smt2,1,6,7,83,5,3,0,0,0.6701126098632812,0.1535630226135254,0.046082496643066406,0.2416081428527832,0.12036681175231934
bapa/arith/fol_0000013.smt2,1,6,7,74,4,3,0,0,0.6195557117462158,0.11870598793029785,0.046793222427368164,0.22036075592041016,0.12380313873291016
bapa/arith/fol_0000014.smt2,1,6,2,9,1,0,0,0,0.16741728782653809,1.0251998901367188e-05,0.011388301849365234,0.020834684371948242,0.026314973831176758
bapa/arith/fol_0000015.smt2,1,6,9,129,7,5,0,0,1.0165290832519531,0.2637643814086914,0.06411337852478027,0.3836250305175781,0.19125938415527344
bapa/arith/fol_0000016.smt2,1,6,8,108,7,4,0,0,0.8449661731719971,0.21647953987121582,0.05553793907165527,0.31291890144348145,0.14863324165344238
bapa/arith/fol_0000017.smt2,1,6,6,62,4,2,0,0,0.5303933620452881,0.08213257789611816,0.03867673873901367,0.19270896911621094,0.10584759712219238
bapa/arith/fol_0000018.smt2,1,6,9,117,5,5,1,1,0.9304962158203125,0.21284127235412598,0.06604170799255371,0.35706305503845215,0.18308281898498535
bapa/arith/fol_0000019.smt2,1,6,7,94,7,3,0,0,0.7473640441894531,0.15299463272094727,0.04593372344970703,0.30831074714660645,0.1265273094177246
bapa/arith/fol_0000020.smt2,1,6,2,9,1,0,0,0,0.17157888412475586,1.1444091796875e-05,0.01132822036743164,0.020842313766479492,0.02740311622619629
bapa/arith/fol_0000021.smt2,0,6,1,9,2,0,0,0,0.1609659194946289,0,0.005308866500854492,0.031143903732299805,0.016081809997558594
bapa/arith/fol_0000022.smt2,1,6,5,43,4,1,0,0,0.4094116687774658,0.03353404998779297,0.032311201095581055,0.14881610870361328,0.08051133155822754
bapa/arith/fol_0000023.smt2,0,6,1,9,2,0,0,0,0.1652050018310547,0,0.005160093307495117,0.030908584594726562,0.017133712768554688
bapa/arith/fol_0000024.smt2,1,6,7,75,4,2,0,1,0.6545982360839844,0.11495733261108398,0.046266794204711914,0.23705506324768066,0.14141154289245605
bapa/arith/fol_0000025.smt2,1,6,2,9,1,0,0,0,0.16242074966430664,1.0013580322265625e-05,0.011406421661376953,0.019776344299316406,0.02366328239440918
bapa/arith/fol_0000026.smt2,1,6,5,40,4,1,0,0,0.3798060417175293,0.03351092338562012,0.03228354454040527,0.12696480751037598,0.0776064395904541
bapa/arith/fol_0000027.smt2,1,6,2,9,1,0,0,0,0.1633765697479248,1.049041748046875e-05,0.01141047477722168,0.019841670989990234,0.02466583251953125
bapa/arith/fol_0000028.smt2,0,7,5,54,4,2,1,0,0.47155237197875977,0.08025527000427246,0.0320742130279541,0.17471528053283691,0.0751190185546875
bapa/arith/fol_0000029.smt2,1,7,6,58,4,2,0,0,0.5353407859802246,0.07494950294494629,0.0409541130065918,0.19153404235839844,0.11541867256164551
bapa/arith/fol_0000030.smt2,0,6,1,9,2,0,0,0,0.16627836227416992,0,0.0052814483642578125,0.034515380859375,0.015826940536499023
bapa/arith/fol_0000031.smt2,1,6,7,76,5,3,0,0,0.6255066394805908,0.1236717700958252,0.046019792556762695,0.2232189178466797,0.12047791481018066
bapa/arith/fol_0000032.smt2,0,6,1,9,2,0,0,0,0.16071510314941406,0,0.0052645206451416016,0.030588626861572266,0.01600050926208496
bapa/arith/fol_0000033.smt2,1,6,7,85,4,3,0,0,0.6865983009338379,0.1600804328918457,0.04595661163330078,0.23702716827392578,0.12910246849060059
bapa/arith/fol_0000034.smt2,0,6,1,9,2,0,0,0,0.15680384635925293,0,0.005116939544677734,0.029794692993164062,0.015284538269042969
