filename,cvc5 result,cvc5 duration,sls,sls result,sls duration,is match
benchmarks/bapa/arith/cvc5/fol_0000040.smt2,unsat,0.004995823,bapa/arith/fol_0000040.smt2,  unsat,0.175446987,TRUE
benchmarks/bapa/arith/cvc5/fol_0000041.smt2,sat,0.005013227,bapa/arith/fol_0000041.smt2,sat,0.374747992,TRUE
benchmarks/bapa/arith/cvc5/fol_0000042.smt2,sat,0.005403996,bapa/arith/fol_0000042.smt2,sat,0.342611551,TRUE
benchmarks/bapa/arith/cvc5/fol_0000043.smt2,sat,0.00557375,bapa/arith/fol_0000043.smt2,sat,0.284318686,TRUE
benchmarks/bapa/arith/cvc5/fol_0000044.smt2,sat,0.004848719,bapa/arith/fol_0000044.smt2,sat,0.358763456,TRUE
benchmarks/bapa/arith/cvc5/fol_0000045.smt2,unsat,0.009018421,bapa/arith/fol_0000045.smt2,  unsat,0.247600794,TRUE
benchmarks/bapa/arith/cvc5/fol_0000046.smt2,sat,0.006201506,bapa/arith/fol_0000046.smt2,sat,0.305989504,TRUE
benchmarks/bapa/arith/cvc5/fol_0000047.smt2,unsat,0.008484125,bapa/arith/fol_0000047.smt2,  unsat,0.25509429,TRUE
benchmarks/bapa/arith/cvc5/fol_0000048.smt2,sat,0.006332636,bapa/arith/fol_0000048.smt2,sat,0.44806838,TRUE
benchmarks/bapa/arith/cvc5/fol_0000049.smt2,sat,0.007041216,bapa/arith/fol_0000049.smt2,sat,0.237226009,TRUE
benchmarks/bapa/arith/cvc5/fol_0000050.smt2,sat,0.005838156,bapa/arith/fol_0000050.smt2,sat,0.147892475,TRUE
benchmarks/bapa/arith/cvc5/fol_0000051.smt2,sat,0.005214214,bapa/arith/fol_0000051.smt2,sat,0.53693819,TRUE
benchmarks/bapa/arith/cvc5/fol_0000052.smt2,sat,0.006765842,bapa/arith/fol_0000052.smt2,sat,0.44276166,TRUE
benchmarks/bapa/arith/cvc5/fol_0000053.smt2,sat,0.006486654,bapa/arith/fol_0000053.smt2,sat,0.451504707,TRUE
benchmarks/bapa/arith/cvc5/fol_0000054.smt2,sat,0.006732464,bapa/arith/fol_0000054.smt2,sat,0.558354378,TRUE
benchmarks/bapa/arith/cvc5/fol_0000055.smt2,unsat,0.005188942,bapa/arith/fol_0000055.smt2,  unsat,0.19108367,TRUE
benchmarks/bapa/arith/cvc5/fol_0000056.smt2,sat,0.005337715,bapa/arith/fol_0000056.smt2,sat,0.510382414,TRUE
benchmarks/bapa/arith/cvc5/fol_0000057.smt2,sat,0.006251574,bapa/arith/fol_0000057.smt2,sat,0.434769869,TRUE
benchmarks/bapa/arith/cvc5/fol_0000058.smt2,unsat,0.00848484,bapa/arith/fol_0000058.smt2,  unsat,0.238897324,TRUE
