sls filename,sls result,sls duration,cvc5 lia filename,cvc5 lia result,cvc5 lia duration,lia normaliz,lia normaliz result,lia normaliz duration,unfold5 filename,unfold5 result,unfold5 duration,no_interp filename,no_interp result,no_interp duration
bapa/arith/fol_0000019.smt2,sat,0.31636405,benchmarks/bapa/arith/cvc5_mapa/fol_0000019.smt2,sat,0.015625477,benchmarks/bapa/arith/cvc5_mapa/fol_0000019.smt2,sat,0.015548944,bapa/arith/fol_0000019.smt2,sat,0.482403278,bapa/arith/fol_0000019.smt2,sat,0.197681904
bapa/arith/fol_0000020.smt2,sat,0.306529522,benchmarks/bapa/arith/cvc5_mapa/fol_0000020.smt2,sat,0.01298213,benchmarks/bapa/arith/cvc5_mapa/fol_0000020.smt2,sat,0.013236761,bapa/arith/fol_0000020.smt2,sat,0.359628201,bapa/arith/fol_0000020.smt2,sat,0.196414471
bapa/arith/fol_0000021.smt2,unsat,0.166874647,benchmarks/bapa/arith/cvc5_mapa/fol_0000021.smt2,unsat,0.010868788,benchmarks/bapa/arith/cvc5_mapa/fol_0000021.smt2,unsat,0.010678053,bapa/arith/fol_0000021.smt2,unsat,0.171089172,bapa/arith/fol_0000021.smt2,unsat,0.340543747
bapa/arith/fol_0000022.smt2,sat,0.28779006,benchmarks/bapa/arith/cvc5_mapa/fol_0000022.smt2,sat,0.012656212,benchmarks/bapa/arith/cvc5_mapa/fol_0000022.smt2,sat,0.012260199,bapa/arith/fol_0000022.smt2,sat,0.479726791,bapa/arith/fol_0000022.smt2,sat,0.260668993
bapa/arith/fol_0000023.smt2,unsat,0.158237934,benchmarks/bapa/arith/cvc5_mapa/fol_0000023.smt2,unsat,0.010987282,benchmarks/bapa/arith/cvc5_mapa/fol_0000023.smt2,unsat,0.012336731,bapa/arith/fol_0000023.smt2,unsat,0.179064751,bapa/arith/fol_0000023.smt2,unsat,0.367945671
bapa/arith/fol_0000024.smt2,sat,0.317140102,benchmarks/bapa/arith/cvc5_mapa/fol_0000024.smt2,sat,0.01714325,benchmarks/bapa/arith/cvc5_mapa/fol_0000024.smt2,sat,0.018928766,bapa/arith/fol_0000024.smt2,timeout,103.1955211,bapa/arith/fol_0000024.smt2,sat,0.219021082
bapa/arith/fol_0000025.smt2,sat,0.289137602,benchmarks/bapa/arith/cvc5_mapa/fol_0000025.smt2,sat,0.012379646,benchmarks/bapa/arith/cvc5_mapa/fol_0000025.smt2,sat,0.012298822,bapa/arith/fol_0000025.smt2,sat,0.327454567,bapa/arith/fol_0000025.smt2,sat,0.202879906
bapa/arith/fol_0000026.smt2,sat,0.402628183,benchmarks/bapa/arith/cvc5_mapa/fol_0000026.smt2,sat,0.012441635,benchmarks/bapa/arith/cvc5_mapa/fol_0000026.smt2,sat,0.012018442,bapa/arith/fol_0000026.smt2,sat,0.428715467,bapa/arith/fol_0000026.smt2,sat,0.212571144
bapa/arith/fol_0000027.smt2,sat,0.29758811,benchmarks/bapa/arith/cvc5_mapa/fol_0000027.smt2,sat,0.01128149,benchmarks/bapa/arith/cvc5_mapa/fol_0000027.smt2,sat,0.012085915,bapa/arith/fol_0000027.smt2,sat,0.339987278,bapa/arith/fol_0000027.smt2,sat,0.203719616
bapa/arith/fol_0000028.smt2,unsat,0.433839321,benchmarks/bapa/arith/cvc5_mapa/fol_0000028.smt2,unsat,0.03825736,benchmarks/bapa/arith/cvc5_mapa/fol_0000028.smt2,unsat,0.034576416,bapa/arith/fol_0000028.smt2,unsat,0.217752218,bapa/arith/fol_0000028.smt2,unsat,0.350995779
